epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,15930,0.24364,0.22392,0.8457,0.99899,0.999,0.99471,0.99347,0.13984,0.09113,0.76725,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16210.5,0.24258,0.21936,0.84607,0.99899,0.99901,0.99465,0.99341,0.13937,0.09089,0.7671,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,16490.4,0.23959,0.21912,0.84383,0.99911,0.99892,0.99472,0.99348,0.13886,0.0907,0.76686,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16771.9,0.23618,0.21566,0.84331,0.99914,0.99891,0.99476,0.99362,0.13848,0.08977,0.76685,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,17051.8,0.23908,0.21904,0.84621,0.99915,0.99892,0.99479,0.99374,0.13806,0.08959,0.76681,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,17332.7,0.23738,0.21484,0.84341,0.99914,0.99891,0.99472,0.99368,0.13774,0.08899,0.76676,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17613.5,0.23624,0.21757,0.84501,0.99913,0.99891,0.99471,0.9938,0.13749,0.08823,0.76649,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17894.7,0.23402,0.21396,0.84326,0.99913,0.99889,0.99473,0.99375,0.13729,0.08827,0.76645,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18175.5,0.23287,0.21198,0.84348,0.99915,0.99889,0.99475,0.99383,0.13672,0.08786,0.76627,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,18456.6,0.23225,0.20996,0.84318,0.99915,0.9989,0.9947,0.9938,0.1364,0.08776,0.76626,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18738.9,0.23067,0.21044,0.84219,0.99916,0.99888,0.99475,0.99391,0.13604,0.08729,0.76618,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,19020.3,0.22948,0.20852,0.84023,0.99917,0.99886,0.99474,0.99381,0.13574,0.08744,0.76578,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19301.2,0.22796,0.20667,0.84059,0.99916,0.99889,0.99472,0.99369,0.13541,0.08715,0.76561,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19583.1,0.22672,0.20683,0.84158,0.99916,0.9989,0.99471,0.99377,0.13503,0.08678,0.76554,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,19864,0.22514,0.20403,0.83804,0.99917,0.99891,0.99455,0.99371,0.13472,0.08629,0.76542,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20145,0.22478,0.20734,0.83947,0.99916,0.99883,0.99454,0.99361,0.13439,0.0861,0.76529,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,20426,0.2221,0.2014,0.83926,0.99916,0.99883,0.99455,0.99368,0.13414,0.08588,0.76519,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,20708.1,0.21946,0.19889,0.83863,0.99917,0.99884,0.99457,0.99369,0.13395,0.08572,0.76516,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,20989.5,0.21759,0.19695,0.83844,0.99917,0.99884,0.99457,0.99354,0.13375,0.08567,0.76514,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21270.9,0.21703,0.19717,0.83832,0.99917,0.99885,0.99471,0.99375,0.13357,0.08553,0.76512,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,21552,0.21721,0.19436,0.83954,0.99918,0.99887,0.99472,0.9939,0.13346,0.08517,0.76507,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,21833.9,0.21416,0.19363,0.83611,0.99911,0.99896,0.99472,0.99389,0.13336,0.08511,0.765,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,22115.5,0.21479,0.19348,0.83718,0.99912,0.99897,0.99473,0.99384,0.13316,0.08473,0.76494,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,22397.2,0.21243,0.19151,0.83606,0.99912,0.99905,0.99466,0.99386,0.13302,0.08461,0.76491,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22678.9,0.21012,0.19016,0.83587,0.99913,0.99906,0.99454,0.99374,0.13285,0.08489,0.76485,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,22960.5,0.20973,0.18876,0.83582,0.99914,0.99906,0.99455,0.99366,0.13266,0.08413,0.76476,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23242,0.20772,0.18538,0.83441,0.99915,0.99912,0.99467,0.99389,0.13251,0.08412,0.76469,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,23524.1,0.20647,0.18552,0.83337,0.99915,0.99923,0.99472,0.99393,0.13241,0.08425,0.76461,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23806.1,0.2054,0.18461,0.83517,0.99915,0.99922,0.99475,0.99413,0.13227,0.08389,0.76456,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,24088.1,0.2029,0.18395,0.83292,0.99915,0.99922,0.99476,0.99407,0.13211,0.08392,0.76451,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24370.9,0.20103,0.18098,0.83395,0.99915,0.99921,0.99477,0.994,0.13195,0.08404,0.76445,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,24653.6,0.2014,0.18023,0.83276,0.99914,0.9992,0.99449,0.99388,0.13181,0.08391,0.76439,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,24935.4,0.20049,0.17891,0.83255,0.99914,0.9992,0.99449,0.99388,0.13166,0.08428,0.76433,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,25218.5,0.19728,0.17509,0.83268,0.99913,0.9992,0.99462,0.99401,0.13146,0.08432,0.76429,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,25502,0.15732,0.10783,0.78185,0.99913,0.9992,0.99476,0.99407,0.13134,0.08413,0.76425,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,25773.6,0.15507,0.1072,0.78142,0.99913,0.99921,0.99478,0.99408,0.13123,0.08405,0.76421,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,26045.5,0.15108,0.10432,0.7791,0.99914,0.99922,0.99477,0.99407,0.1311,0.0844,0.76416,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26317.4,0.14855,0.10224,0.77966,0.99916,0.99921,0.99477,0.994,0.13095,0.08444,0.76408,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,26589.3,0.14809,0.10009,0.77789,0.99917,0.9992,0.99477,0.994,0.13085,0.08425,0.76403,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,26860.9,0.1476,0.10025,0.77981,0.99918,0.99918,0.99478,0.99401,0.13067,0.08399,0.764,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,27132.6,0.14473,0.09794,0.77699,0.99919,0.99917,0.99478,0.994,0.13055,0.08381,0.76397,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,27404.6,0.14337,0.09662,0.77648,0.9992,0.99915,0.99478,0.99408,0.13043,0.08361,0.76393,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,27676.7,0.14069,0.09528,0.77668,0.99922,0.99913,0.9948,0.99404,0.13026,0.08354,0.76386,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,27949.9,0.14053,0.09415,0.77486,0.99923,0.99912,0.9948,0.99402,0.13018,0.08382,0.76382,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
